,toxic,comment_text
52939,0,"""Chouinard has no memory of the accident...""

The manufacturer's attorneys will jump on this and argue that this incident was a result of Chouinard's negligence, and that he did not exercise due care, and Chouinard cannot dispute this because he does not remember. They will have a slew of engineers, government regulators, and industry experts prepared to testify that the equipment is safe when operated in accordance with the manufacturer's instructions, and of course Chouinard cannot credibly claim that he was following those instructions. 

I feel bad for the guy but suspect he will only get a fraction of what he is asking for. They might cover his medical bills and a bit more to avoid the cost of litigation and the risk of a judgment, if he's lucky."
7882,1,"No, …it just means you were wrong and are incompetent."
82338,0,"I concur that organized religion should not run schools. I'm thrilled that a school trustee in Alberta is raising the issue to end segregation of students, public and Catholic, to save excessive administration costs from two administration-heavy systems. That said however, a group of kids who have a prayer schedule as part of their faith should certainly be allowed to pray without a hassle. It's prayer - a personal experience and expression of one's faith. Kids of other faiths could pray if they wanted to and the rest of the kids could learn meditation techniques to control their stress, emotions and strengthen their focus skills.  It's not a big deal."
31406,0,If God wanted them to be treated fairly (S)He would not have made them non-Amurikkkan.
62718,0,"While it's incredibly sad and unfortunate, he made his decision and he is responsible for his actions. Don't break into someone else's property and threaten them and you won't have any issues. I feel worse for the guy who did nothing other than protect his home and family who has to deal with this situation. What about his family?"
48484,0,I dunno.  Between the lines?
76755,1,"Sorry mckinnon but hitler, er i mean hilly is guilty of quite a few felonys. Its just a matter of time until sessions nails her thunderthighs to the barn."
20750,0,"A TFSA has the same feature as all tax breaks. Namely all taxpayers must pay more taxes to make up for the taxes not paid by the people with a tax break. That transfer of wealth is without work being done.

Government legislation is required so that tax breaks disappear completely. As.ong as tax breaks exist tax payers will be justified in using tax breaks so they do not get behind. 

Only government can make it fair. Cancel all tax breaks."
59337,0,"Should be ""too clear"".  We have a couple of draft dodgers in Enderby and they have been nothing but an asset to the community.  One has become the town historian and the other is a fantastic cement finisher.  Can't say enough good about them."
81926,0,"""Given the increased population over the past 20 years I'd predict that under a Ford - Brown combination Toronto would be essentially come to a standstill ....""
.
Pretty safe prediction.  It already has."
90971,0,"Trudeau increasingly sounds like a robotic platitude machine, whose scripted answers to any question can be predicted in advance ""diversity is our strength ... yawn"" 

Singh seems to have some real intelligence, originality and unpredictability, which makes him much more interesting."
40257,0,"Congratulations republicans, w the repeal of the ACA and elimination of Planned Parenthood funding you have won the war on women!"
41062,0,"Burnsie: only in America you say? Thanks to Mel Profit you stole  our Grey Cup and turned it into the SuperBowl foolishness? I know you guys have more money than us, but seriously you are complaining about a $229 ticket price? When was the last time we had a great SupeBowl game? My mother makes a great soup for us on  those occasions and we do enjoy it very much, not so much the game."
85953,0,"His financial statements he released in the spring showed he owned non specific amounts of almost every stock on the Dow Jones, from Apple to Z(whatever), a fully diversified portfolio.  Was he fibbing then or now?"
78756,0,Then should Canada bring in more refugees and immigrants from the Middle East just because Canada is a  good place  with lots of room and Canadians are good people?
2229,0,"do ""crackers"" find the racial slur ""cracker"" offensive? i'm a ""cracker"" and i don't find the slur at all offensive"
40516,0,"Let's separate 'broken promises' of which all politicians are guilty, from an outright disconnect with reality, which is the province of the very few.  Trump is truly unique in that department."
465,0,"""It has been going on for months now. And no facts have been revealed so far. It can go on forever and nothing will be revealed, because there's nothing to reveal in the first place.""

Mr. Speaker,

Allegations have been made. These truth of these allegations may be investigated, or not. Which would you, personally, prefer?

Choose carefully."
15778,0,For the same reason you look out your window when something horrible is happening outside
624,0,No riots? CNN said so I guess.
1410,0,"Plenty of meat, as your list suggest.  Unless all of those subjects are meaningless fluff to you.  They are not to most of us."
34997,0,"While a freshman in a Catholic private school, during religion class the nun SR Mary Truthfulness repeatedly said that the 'mass is the PERFECT unbloody sacrifice of the lord.  Over and over again she said the mass is 'perfect unbloody' sacrifice of the Lord'.  At the back of the class a hand was raised, which happened to be mine.  I asked;  sister did I hear correctly that the mass is perfect, the perfect unbloody sacrifice of the Lord...mind you, no one dared ask any questions in that class.  She peered over her granny glasses and said;  yes Walter I did.  To her I responded;  sister if the mass is as 'perfect as you say, I should only have to go once'.  Immediately, without hesitation she responded;  ""my dear Walter, the mass is perfect, you are not"".  From that point I had the most respect for her...I thought in my errant youth I had her nailed."
20461,1,"What white supremacist made you become a Republican? One need not have had any trouble with cops to know that they are criminals. Have you been murdered? Well, how do you know murder is bad? You're replete with fallacies of logic, aren't you?"
16341,0,"Hi, ATF - I think we have to recognize that no one has done the heavy lifting involved in developing a theology of  homosexuality, for want of a better word. I have read some sketchy attempts based on a lot of presuppositions, but nothing that would convince a traditional believer, let alone bishop, that the story of salvation embraces same-sex experience. It's one thing to argue that people with same-sex attraction have a right to sit at the same table as anyone else. It's another to argue that divine revelation has to be reworked to accommodate same-sex believers, especially if the evidence were to show that most same-sex individuals would have little or no use for the faith even if it were possible to accommodate them.
What I'm trying to say is that the same-sex cause went forward politically without worrying about developing a new and inclusive Christian anthropology, and I'm not sure the cause can go any further unless someone does that."
30562,0,"The real problem for people like Gallagher is not the blurring of the line between ""pro-life"" and other issues, but rather that some issues are, in his view, non-negotiable at the ballot box and others aren't. When someone like him says, ""... migration, arms control, poverty and the environment are important to the life and mission of the Church, but ...,"" you can bet your bottom dollar that what will follow the ""but"" is a rationale for how those issues really aren't that important after all.

The narrow view of what properly constitutes a ""pro-life"" position is largely responsible for the mess we now have in Washington. Congress is filled with reactionaries, many of whom have nothing to recommend them for office other than that they know how to pander to the ""pro-life"" crowd.

Cardinals Paglia, Cupich and others just want to bring sanity and a traditional Catholic dialectic back to the ""pro-life"" discussion. That's becoming more important every day. In fact, it's becoming critical."
85498,1,"CIVIL BOT:Says:
""Greetings! I've detected a higher than average rate of questionable voting activity on your account. Trustworthy ""civil/uncivil"" ratings are important for our community; accounts with a pattern of unfair voting will be restricted.""
me: How dare you question my ethics? You are mindless, I have mine. ALLmost all remarks are civil, and I have reported SPAM. And you jerked me around on that. NOW I AM REPORTING YOU, MORON."
73388,0,http://www.youtube.com/watch?v=K8E_zMLCRNg
19202,0,When were those days exactly?
25844,0,"You are in every way correct.  ""Charisms"" are certainly not restricted to vowed religious or clerics or Opus Dei or the Knights of Malta.  But, LotL and DoninKansas and Jopet T. are making far, far more of this then is needed.  Although it really is a topic for a well-done investigative article, you are likewise correct that OD receives special treatment, and it is way too similar in my mind to the Legionnaires, and the destructive role that surplus money plays in these all too secretive organizations."
28298,0,Oh wow Peter DeFazio got his name on something now he should move on to New Zealand. This editor is touting saving $24 million. For a bunch of bureaucrats that have been doing lunch meetings for several years that they even voted on any thing is amazing. I would be interested to see the over head of this committee. In fact the editor is totally wrong if the interest is saving money. The maybe 6-8 million not going to fund draft registration after committee costs will be spent on some thing else. Like maybe send it to ltd for their next round of monument building and legacy padding emx. Draft  registration just might serve another purpose. Like about the only thing left that demonstrates to 18 year olds they may be called on to defend what freedoms we have left in this country. Just the opposite of what is taught in schools.
67879,1,"Benefits need to be cut 25-35% over the next 3-5 years.  It is unfortunate, but retirees and current workers need to share the bulk of the burden.  This should start at the top.  There is no reason on earth that taxpayer's should be paying for the miscalculations and overpraising of benefits.  There is nothing even remotely like this in the private sector.  

Another classic case of baby boomers destroying the financial systems.  Self absorbed, selfish fools.  Lock them up."
43545,1,90% of this is fueled by the women of Pride. Most gay guys like  the police in their smart uniforms and polished leather equipment.
15956,0,"""Grow up & get over it""
Good advice for you and trump.  His pardon to will be forthcoming."
1605,0,"The budget problem will be solved when legislators are forced to follow the Constitution and get maximum value for our resources.

As Robin Brena explains...

""Were the state to have received the same percentage share of gross revenues in 2015 as it received in 2012 (35 percent), the state's petroleum revenues in 2015 would have been $4.8 billion and the state's budget would have been very close to balanced.""

This is the only way to solve the budget.  They can tax Alaskans in so many ways...Income tax ($200 Million) gas tax ($100 Million) but it will not even add up to the tax credits paid to the oil industry.  This is after we give them our oil for free.

Robin Brena explains how to fix it:

(1) Increase the base rate for the major legacy fields and for merely harvesting our resources 
(2) Eliminate credits 
3) Eliminate loss carryforwards.
(4) Eliminate the ""new oil"" definition 
(5) Increase progressivity.
(6) Add the auditing and legal resources necessary 
(7) Increase transparency"
99910,0,"This research is great but I just find these articles present the findings in the most ridiculous way.  All we have so far are infrared shadows crossing a cool red dwarf star 40 light-years away.  How does this lead to artist’s conceptions, the probability of water, oxygen and life?  Some of the comments are saying these findings now prove that God doesn’t exist.  Well I think God is still firmly on His throne and there would be a purpose for any life found in the universe."
59214,0,"2 years of investigations, millions of tax payers dollars wasted, no viable Democrat challenger, and no Russia and no Trump, how is any of this a problem for Trump? This fake news Russian Dirt Dossier just blew up in Dems faces, 3 new credible House Intel investigation are now under way into Clinton criminal activities.  Who says there is not a God! And remember folks, collusion is not even against the law!"
18933,0,"Perhaps it is like the muni here in anchorage when we said no to a sales tax, they said ""fine, the only thing we can cut is police and fire"" later some one found that we pay $600,000.00 to plant flowers and they shut up and made do."
34823,0,"North Korea surely understands that any first move by it would be the last one for its people and the ruling regime. Yes, most likely it would take down the whole peninsula and, perhaps, some parts of China and even Russia and Japan ... but in the end, this would be a complete annihilation of the North Korean regime.
So, isn't this clear to the US ? Absolutely - I am sure they know this as well, as they knew that no ""hot war"" between the US and the USSR would have been possible at the times of the Cold War. Then why is this all hysteria?
Money and power and money again. That's the only reason. Leave North Korea alone and it will destruct itself in a fashionable way, very much in the same way as it happened before to the Soviet Union. North Korea wants rockets, missiles, another weaponry? Fine! It will be done in excess of its own people who will revolt or force its lower-rank leaders to revolt.
That should be the plan - to have them self-destructed!"
95355,0,"Weed becomes legal. All the sudden media showcases "" marijuana"" as the culprit in recent crimes. Just wondering what the violent crime, not excluding domestic violence, involving alcohol is?"
19208,0,"Or should we hold Spendowiz responsible since HE has increased APD's budget only to see crime rates rise tremendously under his watch? Just a question.
 
Or would you rather fall back on your usual Liberal talking points and blame Bush and the NRA? Maybe throw Cheney in the mix somewhere also???"
82435,0,"No one has ever been or will ever be another, to grace the world with the wisdom of the biblical Solomon. Thus,  may Neil Gorsuch and his contemporaries acquire wisdom along the line of Solomon to help guide them with what is right and best for our country."
31065,0,"And of course USFW killed hundreds of birds while attempting to poison off the rodents, which they readily admit they may not have killed all the rodents... on Rat Island and elsewhere"
90553,0,"Those are some pretty damning accusations.....

The Crusades happened hundreds of years ago....care to complain about them too??"
40614,0,"So let the community leaders organize a great new event with a sailboat race, centered at the yacht club and boat haven.  Let the businesses have a farmers market, serve their food and sell their crafts, and bus attendees to restaurants and hotels.  Bring in live entertainment and a beer tent with local hospitality, and offer par for our Canadian friends.  Bring hobbies and kayaks for the young ones.  This event will require more than hope, but it's an easy lift for the right people and the port to execute.  The Port Angeles Maritime Festival can be a great event - similar things happen every weekend all over North America."
63322,0,I’m surprised they can read.
54237,0,"It appears that these people coming here illegally are Muslim.

As the Muslim population grows, will Canada be faced with the same issues happening in Europe? Why do we think we are different?

Already planned and ready to be voted on is Bill M103, which will allow Sharia law to become part of Canada, in that no one will be allowed to comment on anything to do with the Muslim culture if it appears to be 'Islamaphobic'. 

Here is what is happening in Luton, UK... https://www.youtube.com/watch?v=f8WVkbXOHfM"
33929,0,"Liberals attempt to excoriate  Trump no matter what, and anyone familiar with CNN and MSNBC clearly understands that."
75926,0,"There is another part, immigration. The foreign buyers understand mass immigration to Canada better than Canadians. That is why they invest in Canada , because they know people will continue coming and coming from Asia, there are billions of people living in smog and dust. One millionaire leaves and another taxes their place."
71451,0,"At Soviet time in Russia we had a joke: In the TRUTH (main Communist newspaper, called PRAVDA, translation from Russian - ""truth"") there are no news, and in a NEWS (another major Communist newspaper, called IZVESTIA, translated from Russian as a ""news"") - there are no truth. 
Since that time nothing was changed. There are no independent  journalists at all! In any country - Russia or US or Canada. Who pays money - those order a music. 
About Ms. Freeland grandfather.... I do not know, but where there's smoke, there's fire. A lot of Ukrainians most likely from western Ukraine collaborate with Nazi during Second World War and it is very well known, that a lot of those who did this, immigrate to USA and Canada when war was finished. Think again about smoke and fire....."
63460,0,"The Holy Ghost speaks to no one personally, you are deluding yourself if you thinks He speaks to you and people who think like you. The Holy Ghost interacts with this world as Jay Edward sets out above."
19685,0,What risk? You wouldn't know.  Just an irrelevant flea. Go jump on somebody else please.
50405,0,They are charging $3.50 a foot for units that are not beutifuly designed.  oh well.
45297,0,"This sounds like an opening line for a joke in the nature of "" there was a priest and a rabbi""... So allow me to provide the punch line... Nun because  nobody wants to go to the ones that are there already."
13057,0,I am so sorry for your loss.  I am sad that this has happened.  I will keep you all in my prayers.
56722,0,"healthy scratch coming up, again."
7996,0,"trump told Duterte where the US submarines are.
He should have told them where the warships are too.
Give it all away to worthless autocrats to win their approval.
So you can be one too."
19736,0,"Hey Russofile, Russia is totally to blame for this flare up. The Russian mercenaries are bombarding  residential areas of Ukrainian territory using Grad rockets and 150 mm guns that have been banned by  the Minsk Agreements. Not only that, the Russian metcenaries have parked their artillary in residential neighourhoods of occupied territories preventing Ukrainian military from responding. And the OSCE observers are witnessing all this. So don't BS your fellow G&M readers."
6582,0,"I'm reading the other comments, and it makes my head spin. 

Here's why trails, parks, and other destinations are important and essential. Every year, 1 million visitors flood to Whidbey Island EAGER to spend their money to support the local economy. They willingly open up their wallets. 

I doubt an occasional jet flying, thousands of feet overhead, will deter anyone from visitor or have any health impact. 

There's a dramatically higher probability of an airplane crashing in the Bellingham, Everett, and Seattle metropolitan area than on Whidbey Island where there's only a handful of Navy aircrafts, private planes, and ultra-lights. One of the latter actually crashed across the street from my house.

Continue to develop Ebey's Reserve, enjoy the tourist dollars, and stop bickering over fabricated concerns!"
86955,0,The real problem is not aca. The real issue is that CONgress refuses to address health care COSTS.
13916,0,"Hate speech is not subjective, dear sir. Hate speech even when used to promote noble causes is not acceptable. In general, when an ideology is poorly conceived it had to revert to hate speech."
74886,1,"Have you told ""progressive"" Episcopalians and Anglicans who call their male clergy ""Father"" about this?
Ironically, they started doing this because it made their clergy seem more exalted and less like the minor drones of the English Establishment.
Pathetic how religion can't get its stories aligned.  No wonder people don't take it seriously."
44913,0,"For people in order to become fully what God intended for them, they should never ""split the gift"" that God gave them, deep, giving marital unity..and fecundity.

We shouldn't pick at the gifts.  For the relatively small number of cases, if having children truly is medically dangerous...not simply inconvenient, annoying, troubling, conflicting with ""career goals""....then the Church has an answer for them..but it too may involve a bit of denial, a bit of effort.

So what...right?..we often 'assign' too much importance to our own gratification. It's not the end of the world  to deny ourselves....the sacrifice can actually be nicely sanctified.  It can also lead to deeper personal unity with one's spouse.

Regarding ""goals"".  No. The goal must be much more than the sort of secular goal you offered. 

The goal is: ""marital love that grows beyond itself through contnuous & heroic gift of both the husband and the wife.  Total trust in God, and more, love FOR God through their marriage."""
50271,0,god speed troops. Come home safely.
94899,0,"So, Catholic Social Services sucks up the big federal refugee resettlement program bucks (there are billions) then when all executives get their payday, the costs are put upon the U.S. taxpayer (in perpetuity), who as usual-has had no say in the whole affair.

The homeless vet on the street gets less assistance than these people from these ""refugees"", who share little to no common values or culture with the United States.

Why is it that the countries in the Middle East like Saudi Arabia and Turkey (whom we give billions in assistance to annually) are not taking in these refugees?  Most of these ""refugees"" share much more in common with countries like Saudi Arabia, Turkey, etc., than America. 99.9% of them are NOT Catholic, nor Christian.

Alaska REALLY needs to get it's own house in order before we ship foreigners in from abroad."
79606,0,"That life really sucks. My European friends in Denmark and England retired at 62, take at least 3 vacations a year, doctors over there make house calls so they don't even have to leave their home to see one. Their homes are paid for, they each worked 20 years, one pair as teachers, the other pair one is a cake maker and the other is a factory worker. They have plenty of cash and the system really takes good care of them. The message here is about the quality of life, not just living. Our system has let the American worker down. American workers should vote for Social Democrats who will fight to bring these assets to the majority of people."
93822,0,Because feelings get more progressive votes than results.
71690,0,"Alaskans voted a decade, or more, to build the gas pipeline, but the voters have long since forgot what they  voted for and have lock stepped with the Republican majority.  When the voters decide to quit pounding their head into the sand, perhaps the state can move forward with a new legislative body that'll put Alaska First.  Governor Walker, you started the putting Alaska First campaign, now put some teeth into that campaign slogan."
11033,0,What a nasty attack by the good professor on our current PM.
25041,0,"How would you feel about someone being forced to wear a colander?

Incidentally, it is a criminal offence to try to force someone to wear a balaclava, or a niqab, so you're not required to tolerate that. A guy in Quebec was arrested for it not long ago. You only have to tolerate people choosing to wear balaclavas, or niqabs."
67820,0,What total bafflegab.
30118,0,"90,000 tweets a day!  Shazaam!

How many are tweets per needed per recruit?"
49021,0,"Thanatos, if you look carefully at the evidence the metadata evidence only reveal the first name ""Saurabh""  there is no surname in the evidence. On the first name basis only, you will find that many connections to many different organizations can be made. For that reason this can only serve as circumstantial evidence."
967,0,"As Ms. Paris touches on, the dictionary definition of ""racism"" and ""sexism"" defines both i) an institution and ii) discrimination based on race/gender. I now encounter people who have implicitly and unilaterally removed the second and most generally understood definition, which is not honest debate but a setup to be called racist/sexist. This appropriation is ironic, especially given several new ""progressive"" adjectives which are being coined to legitimize the use of air horns in ""debates"". Idealogues are nothing new, but having our universities subscribe to them is."
54705,0,"21,800 for the year.   How many did we lose?"
96275,0,"Hello from the other side peeps! 
https://m.youtube.com/watch?feature=youtu.be&v=l71Pvvnp3oE"
49576,0,"Yes but look at where women go once in medicine and you see the same split as you do with the STEM.   They end up in family medicine, pediatrics, psychiatry, and other less technical specialties.  Look at most of the surgical specialties and the 80/20 rule applies.  Very few women there."
3849,0,"I'm wondering how long you had to wait to see a surgeon for a consult [I assume your primary care physician gave you a referral], and what your wait-time was to get any tests pre-surgery? 

This week, I'm finally going to see a specialist I need to see. I had an appointment in September, but when I showed up, I was re-booked because the doctor had too many patients that day. 

My appointment is scheduled for this week almost 5 months to the day my doctor sent the referral. NOT impressed."
98244,1,"Incarcerating and caring for incarcerated prisoners is a government function, and it comes as a cost, not a profit. Our criminal justice system is more corrupt than the so-called criminals it processes."
95822,0,What other stories do you remember or not remember? You have us captivated.
81109,0,"I sympathize for the families of the fallen officers they have lost more than most will ever know.  Officers being shot isn't a racism issue.  Some of the officers being shot aren't Caucasian so this isn't a race issue. 

It's people vs LEO's.  It's the poor feeling targeted and deciding to strike back.  And those feelings are BS created by the media. People allow the media to tell them how to think, act, and live.  I sincerely hope this madness stops but it will probably get worse before it gets better.  

At this point I wouldn't be surprised if someone targeted governor walker the way the media writes it's his fault we won't have half our pfd this year and some poor nut job may decide that he needs to pay in violence, because that seems to be what society understands and responds to,  ppl don't talk anymore.  Folks just spew hatred and act in accordance with their negative views. No one wants to have a civil conversation anymore.  It's a sad point in America to have fallen so far."
34674,1,"And if they are crap, polling at 17% with the public, they get 50.
A truly great bill would get 100 votes."
40677,1,"A crazy Yobo on one side and a crazy haole on the other.   Stalemate.  Now if we can just keep our ships from crashing into other for just a day, we may have a chance at eliminating this dictator clown."
32310,0,"Here is a fact: Lake Iliamna is only miles from Pebble. What river flows out of Iiamna? The Kvichak. Did you know that that system has the highest escapement requirements of ALL of Bristol Bay. These are the 'facts', Jack."
56018,0,"While the DP continues its daily attack on the current administration, it ignore the Awan brothers story. A story that has a clear connection to local representative DeGette, who paid one of them $132K."
36808,0,"If non-citizens can vote in the city of College Park Local elections, then non-residents, minor children and pets should also be allowed to vote in their local elections."
85303,0,"I would ask why we aren't paying more attention/regulating real estate more closely.  for the majority of the population, real estate is their largest asset, and walk into any pre-sale condo office and see what kinds of returns etc. they are boasting about.  RE agents and developers are marketing their products as investments, and they make all kinds of promises on returns but no one is holding them to account."
4870,0,The pipe that burst at H pad happened during a blow. I'm sure that mess went miles not just 33 acres.
18696,0,Probably the same thing that's wrong with Trump himself.
62350,0,Green crescents?
70197,0,The only video that I think I would enjoy more than Trump body slamming CNN is  Rand throwing RINO's into a wood chipper  feet first.  Bet CNN wouldn't snivel about that.
53132,0,"A good Samaratian saved the dead goats carcass. How nice. Why didn't the Good Samaratian save the goat by getting people away ?
Alaska law has been violated by each one who was on the rocks HARASSING this goat. 
Goats don't swim !! They live on mountain tops. 
Im calling Troopers and demand charges of those responsible for the Harasment."
36692,0,"God help us if he ever became governor, he'd eliminate the fire department and tell everyone to keep some buckets of water on hand."
1296,0,"Another fair-minded Trumper with inside information and uncanny deduction... yeah, right."
79581,0,"This was superbly written Adam... no matter how the conservatives want to rewrite and rehash reality, the facts are the facts.

I'm already Scheer weary...

Scheer ironically used the title from Trudeau's book ""Common Ground"" to describe what the conservatives need to do to pull together. I watched a few interviews after his dark horse leadership win and Scheer is on record for using the term over and over. It's hilarious and odd that he would try to appropriate the term that Justin has based his politics upon. Which came first? You can't make this stuff up..."
75251,0,Why don't you fly out here and stand on a street corner and say that. Make your you have your health care card with you.
13117,0,"Oh, Paul, more speculative nonsense, your editorial hallmark.  Trump ""talks a good game""?  Clinton would ""punish the rich,"" and ""work to destroy"" the second amendment?  I fear you have been caught up in the propaganda trap yourself, and are unable to see the view from above; but then, I don't recall ever seeing a thoughtful piece from you.  Clinton is far and away the best choice.  The voters will make it happen.  The real question is, then what?  Higher taxes on the rich: fine by me.  Rational gun laws: fine by me.  And a Supreme Court that actually functions: fine by me."
46236,0,"Privatized healthcare, such a good thing, NOT!"
71132,0,"Statistically speaking, small spills in aging fields are guaranteed.  BP and Hillcorp invest millions to keep this from happening AND BP and Hillcorp clean up the spills.  So what justifies the state fining these companies $100,000+ for these small spills?  What value does the state or the feds provide for 100K?  This level of fine is simply based on one factor ... extortion to fund bloated bureaucracies."
51082,0,"Someone should ask Vicki Marble to back up her claims about her racially diverse family. It's kind of a little throwaway comment, but too many politicians just casually lie about things like that when it's convenient to them, and nobody ever seems to question them, for fear of seeming rude I guess."
75228,0,Standford is why she is great judge and lawyer. Hoales are great people in Hawaii. So many of them came here and improved our lives. She is Heaven bound and has a big date with Roy.
41903,0,"This is exactly what complacent Canadians, with uninformed political awareness, voted for. Shame!"
7732,0,"You are correct regarding Raimel Tapia's defense.  While Tapia has done a nice job filling in offensively since his call-up, on defense he really seems to struggle reading the ball off the bat and doesn't get nearly the first-step jump that he should considering his excellent speed.

Last night Tapia got turned around on a ball that landed at the base of the wall which should have been an out.  As a result of his misplay it turned into a triple for Joey Votto which in turn produced the first run of the night for the Reds when the next hitter, Scooter Gennett, singled to left field."
29638,0,"The electoral college is working in exactly the way which Alex Hamilton and the other founding fathers intended.  By selecting  the wealthy patrician, Trump, they will protect the nation from an unreliable woman of questionable character who had persuaded the uneducated ""mob"" of common voters to vote for her from  becoming our president."
80589,0,Obama didn't invent executive orders. Republican presidents have issued them profusely in the past also. They are required to be constitutional. Sorry Charlie.
67630,0,"Given the two bikes swerved in front of him-- I guess he was close enough--  wow how about his life being endangered? or does it not count, only people who ride bikes. As a pedestrian I have been hit 3 times by a bikes on sidewalks."
8513,0,"Try to keep up with the subject matter.  I know you appear to be challenged in doing so, but this article is about Trump and Kim."
92853,0,"If all else fails in his retirement, at least we know he can go to work and be very successful, making more stuff up for Breitbart."
3854,0,"Putting everyone on the list (incuding you) would include rapists and pedophiles, would it not? Draining all the oceans would make it easier to get fish. Should we do it? Never go outside, and you won't get rained on. Don't leave home without a helmet. I mean, you never know, right?"
90597,0,"Come on one win against my leafs and all will be forgotten, the sea will part, Julien will stop snoring in his sleep, bergiven will curl another 50 lbs, and the Zamboni driver will get a racing stripe. Game on Saturday night my friends, game friggen on"
77244,0,"I prefer a double action pistol since the round can be chambered without setting the trigger. Setting the trigger and firing the pistol is achieved by either pulling the trigger all the way through or by cocking the hammer and squeezing the now set trigger.

Having been extensively trained in the Army infantry many years ago and shot (and cleaned) pistols safely ever since, I wouldn't carry a single action pistol chambered unless I were (heaven forbid at my age!) again in a live combat scene."
68631,1,Hey Brainless .... go jump off a bridge.
83820,0,As long as we can send everybody else to whatever state they came from. Lets start with you
59052,0,"Sorry Canadians but this is an American domestic issue. Try and put aside your typical anti-Americanism and at least acknowledge that. Condolences to the Canadian victims but them being victims doesn’t make the American right to own guns the business of Canadians.

The fact is those on the left are rabidly, irrationally and hypocritically anti-gun. For example, left wing celebrities, politicians and those that are rich enough to have their own armed security don’t have a problem with guns when it comes to safeguarding themselves. 

If this attack was done with a vehicle the left also wouldn't be calling for the banning of cars and trucks, and this attack could have been easily conducted with a high speed vehicle, just like in France, an attack that killed many more. 

There  are many ways to injure and kill a lot people. The focus on guns is ignorant and irrantional. America has always had guns. Something else is broken is what is causing mass shootings. Anti-depressants, for example."
37270,0,"This is referred to as, ""fiddling as Rome burns."""
87896,0,"Next up the Netherlands then France.  
Walls are going up in Europe sooner than we think."
74467,0,Are you fond of Wynne?  She's able to run Ontario the way she wants thanks to this system.  As was Harper.  I've yet to meet someone that had no problem with both Harper and Wynne having the power to do what they want with less than 40% of the vote.
27476,0,"More leftist ""projection"" from a very jaundiced WaPo."
14751,0,"Leaders lead. 
Frankly I do not ask a lot of my government but one thing is for sure 
""Pay know with having the equipment to deter and enforce our boundaries or pay later in lives and loss of sovereignty"". We are not a ""city state"" but a country with three oceans and NATO allies who help us and who count on us to help them. If we were not part of an alliance imagine the cost of protecting our borders. Just look at Russia."
64082,0,Its always been true spend spend spends tax tax tax. Where do they think the money comes from. Liberal times are tough times
34568,0,"The Anchorage LIO website directory indicates offices for 24 Anchorage legislators. Even if they move to the ""cheaper"" building that is over $500,000 per office.  There would be some conference rooms, reducing that figure a bit. I still have not seen any justification for any building, much less one that large and expensive. I assume it feeds their egos since majority members get larger or more attractive offices. I have not seen any performance that warrants that reward. Spend the money on education or the Port which will benefit the State."
95286,0,Don't see any harm ?  Every dime spent of this is money blown. Just as is money on the gas line.
71771,0,"Another schill for the Media & Dems, whining and ""demanding"". Q: why does the press give them airplay?  Heh"
14794,1,"I'm sorry this comment is sexist pap. 
Nothing in this article or discussion supports your conclusion that Freeland is incompetent because she's a woman, nor that Trudeau's affirmative action of 50% women in cabinet has resulted in people who can't be trusted getting top spots. 
This is sexist rubbish and has no place here."
39257,0,Yet Canada must spend billions of dollars fighting the evils of cannabis and even more money on 'legalization.'  Why doesn't the flat earth society worry about air pollution? Why not zero tolerance on air pollution that hurts more people than cannabis? Air pollution causes more brain harm in the youth.
61798,0,"""An income tax will reduce our population...""  since when Researcher?  Where will people go that they face no income tax.  You sound like the fear mongers in California when 'Gov. Moonbeam' Jerry Brown was elected.  People like you claimed he would raise taxes, driving the rich and the corporations out of the state.  Those people were right...partly.  Brown did raise taxes (or the legislature did) but the rich folks and the corporations did not leave California.  It turns out, corporations are willing to pay taxes when they can be located near colleges and universities turning out a highly educated work force.  And the higher taxes helped to turn a budget deficit into a budget surplus.  Yes, California still has massive debt accumulated during the Schwarzenegger years, but the outlook is positive.  We should learn from success, as well as from the budget and tax-
cutting failures of Kansas and Louisiana."
69021,0,"I would agree with this ""if"" the government didn't dump UI benefits into general revenue and the system was self funding. Who knows how many more billions of dollars of debt this will add."
17003,0,Amazing how you're able to reach that determination without any of the facts of the case.
3259,0,"You get the ""Comment of the day"" award!"
27373,0,"I was actually surprised there is only 124,000 registered NDP. If the party adopts the LEAP agenda, the party will be un-electable. And Trudeau and Butts are already bringing in insidious Marxism so there won't be any room for the NDP."
19431,0,But now you're imposing the Religion of Atheism. That's not secular.
97480,0,"Hell, you can even disagree with your friends, and they still aren't your enemy."
63796,0,"There definitely needs to be a hard-hitting lawsuit against the aquaculture company that caused this devastation.  This was not an ""accident.""  It was gross negligence.  For the same reason that a drunk driver is prosecuted for ""accidentally"" crashing his/her car, after intentionally getting hammered and intentionally getting behind the wheel, the perpetrators of this disaster need to be sued and prosecuted to the max.  These salmon farms should never have been allowed."
71472,0,Next best idea: put a hefty property surtax on every spot in every parking lot in the city.  The city has complete jurisdiction and as the costs are passed along  this will impact suburban drivers just as much as the road tolls.  It may also encourage a bit of car pooling and public transit use.
25722,0,"Buyers want the price drops, sellers and real estate industry want the price up, depends on who you are."
49641,0,"I can't figure that out either. I'll say it again, the abortion issue is the underling issue to Clinton's  disapproval by our Catholic Church."
